Wall time,Step,Value
1555449908.2417774,5,1.6524794101715088
1555449908.3020256,6,1.394339680671692
1555449908.7203982,10,0.8113857507705688
1555449908.7786014,11,0.5853989124298096
1555449909.0049553,14,1.2480292320251465
1555449909.0539198,15,0.9602637887001038
1555449909.1939545,18,0.3170467019081116
1555449909.2311764,19,3.789031744003296
1555449909.2888274,20,0.5659146308898926
1555449909.5760927,24,1.1230000257492065
1555449910.4668756,36,0.28580549359321594
1555449910.6823301,40,5.884191513061523
1555449910.7739286,42,0.19234131276607513
1555449910.8679543,44,1.736742377281189
1555449910.948512,45,0.24479950964450836
1555449911.0314794,47,2.938190460205078
1555449911.159059,49,0.8862413167953491
1555449919.543061,53,1.263138771057129
1555449919.600369,54,0.2441321462392807
1555449919.6479938,55,0.2459687739610672
1555449919.7163374,56,0.6168721318244934
1555449919.7967846,57,0.40503162145614624
1555449920.2011817,63,0.30652159452438354
1555449920.304287,65,1.9588614702224731
1555449920.3895621,66,3.8038110733032227
1555449920.4323404,67,3.2156453132629395
1555449920.5020747,68,0.21736612915992737
1555449920.664585,71,0.15145328640937805
1555449920.734195,72,0.48264679312705994
1555449920.7792616,73,4.904280185699463
1555449920.8380132,74,0.4912560284137726
1555449921.1608944,79,0.3477340638637543
1555449921.4730988,84,0.524870753288269
1555449921.6699018,87,0.22794269025325775
1555449921.7274485,88,0.36585021018981934
1555449922.0637517,94,0.4685227870941162
1555449922.9461386,102,1.0310617685317993
1555449923.1490238,105,0.347486287355423
1555449923.2183352,106,0.21734347939491272
1555449923.6128564,113,0.3424348831176758
1555449923.76251,116,0.22825771570205688
1555449923.9016078,118,0.2862083315849304
1555449924.3520205,125,0.91578209400177
1555449924.4542208,126,0.2323804646730423
1555449924.6562645,129,0.17120356857776642
1555449924.8017862,130,0.7053542137145996
1555449925.2180002,137,1.0225868225097656
1555449925.3437738,139,0.22054867446422577
1555449925.4725258,141,0.21716414391994476
1555449925.5414727,142,4.58640718460083
1555449925.6100252,143,4.94112491607666
1555449926.037057,150,0.3966895043849945
1555449926.6413252,155,0.14114420115947723
1555449926.7572687,157,0.21920153498649597
1555449926.815513,158,1.0241278409957886
1555449926.883899,159,7.509998321533203
1555449927.080697,162,1.4162116050720215
1555449927.381448,165,0.20778310298919678
1555449927.5169866,167,0.14469993114471436
1555449927.5860853,168,0.4209693670272827
1555449927.7263994,171,0.17081841826438904
1555449928.1523619,177,0.14268700778484344
1555449928.2661986,178,0.19084015488624573
1555449928.4264908,180,0.2054665982723236
1555449928.6785405,183,1.067107915878296
1555449928.8150227,185,0.13714709877967834
1555449928.8738317,186,4.003108024597168
1555449928.9894314,188,0.09506871551275253
1555449929.139162,190,0.20743633806705475
1555449929.2071807,191,0.34290894865989685
1555449929.6910248,198,0.10466895997524261
1555449930.501519,206,0.2113708108663559
1555449930.5712502,207,0.679458498954773
1555449930.6877322,208,0.2112228125333786
1555449930.9712937,212,0.15209569036960602
1555449931.5965497,222,0.20202532410621643
1555449931.6649966,223,0.17260661721229553
1555449931.8137305,225,0.9735407829284668
1555449932.0911703,229,7.480291366577148
1555449932.296794,232,0.171877920627594
1555449932.3780646,233,0.37731340527534485
1555449932.4363387,234,0.13241899013519287
1555449932.631877,237,1.2179027795791626
1555449933.334242,247,0.33550649881362915
1555449933.5381627,249,0.7133623361587524
1555449934.4788222,255,0.49492406845092773
1555449934.6521635,258,4.692395210266113
1555449934.698158,259,0.08469851315021515
1555449934.7336826,260,0.3111708462238312
1555449934.7801661,261,0.5048730373382568
1555449934.8640435,263,0.8690815567970276
1555449935.1058474,267,0.09097535908222198
1555449935.3600976,271,0.10609199106693268
1555449935.5432718,273,0.1725541353225708
1555449936.0149567,278,1.1487857103347778
1555449936.4621258,284,0.5341027975082397
1555449936.9238966,291,1.7750192880630493
1555449937.0030675,292,0.12128445506095886
1555449937.41601,297,0.079942487180233
1555449937.497234,298,0.06805689632892609
1555449937.675571,301,0.09408681839704514
1555449937.765557,302,0.1439075469970703
1555449937.819525,303,0.20738443732261658
1555449938.378304,307,0.1203496977686882
1555449938.4564228,308,0.10257754474878311
1555449938.674193,310,0.10989175736904144
1555449938.9041505,313,0.14915375411510468
1555449939.2246132,317,0.08369942754507065
1555449939.304459,318,0.5829135179519653
1555449939.352475,319,0.8943454623222351
1555449939.4536078,320,0.5093865990638733
1555449939.65838,322,0.10127908736467361
1555449939.8673594,325,0.9691528081893921
1555449939.934924,326,0.6788217425346375
1555449939.9928727,327,0.3012141287326813
1555449940.2222714,330,0.13625454902648926
