Wall time,Step,Value
1555405790.5363111,5,1.1888905763626099
1555405790.5710156,6,1.6381146907806396
1555405790.7135787,10,0.4437292516231537
1555405790.7507086,11,2.762220621109009
1555405790.8689854,14,4.8043389320373535
1555405790.9047267,15,0.3921603262424469
1555405791.0118058,18,0.8112797141075134
1555405791.0491886,19,1.2250479459762573
1555405791.0827844,20,0.3595722019672394
1555405791.2261662,24,0.5178225636482239
1555405791.6546793,36,0.35251370072364807
1555405791.7977815,40,0.21052703261375427
1555405791.869053,42,0.25334081053733826
1555405791.9401176,44,1.2238413095474243
1555405791.9774084,45,0.22426165640354156
1555405792.1306882,47,0.2052743136882782
1555405792.2024403,49,0.1426546275615692
1555405792.6476185,53,0.12691916525363922
1555405792.6839757,54,0.40901973843574524
1555405792.7182548,55,0.4206583499908447
1555405792.7549214,56,0.20581457018852234
1555405792.790156,57,3.130479335784912
1555405793.0046885,63,0.5954617261886597
1555405793.0756984,65,0.24939431250095367
1555405793.1260831,66,0.24786025285720825
1555405793.160742,67,0.11141561716794968
1555405793.1976094,68,0.20861461758613586
1555405793.303957,71,0.6649960875511169
1555405793.341442,72,0.1350603699684143
1555405793.3753877,73,2.3178062438964844
1555405793.4118254,74,0.197291299700737
1555405793.5899527,79,0.14009980857372284
1555405793.7691443,84,2.3491463661193848
1555405793.8745372,87,0.10866008698940277
1555405793.9122784,88,1.1960630416870117
1555405794.1268508,94,5.289456367492676
1555405794.5356205,102,0.9351599216461182
1555405794.6550663,105,0.34116578102111816
1555405794.6897297,106,0.09929138422012329
1555405794.9410322,113,1.2080416679382324
1555405795.0472991,116,4.183331489562988
1555405795.119238,118,0.09428925812244415
1555405795.369966,125,1.081117033958435
1555405795.404762,126,0.06216796487569809
1555405795.5129683,129,0.5192357897758484
1555405795.5479565,130,0.3062065541744232
1555405795.7989235,137,0.08480296283960342
1555405795.8698804,139,0.07944145798683167
1555405795.9413655,141,0.10734181106090546
1555405795.9770732,142,3.1961424350738525
1555405796.0131261,143,0.13314633071422577
1555405796.2623043,150,3.509989023208618
1555405796.5435436,155,0.08895857632160187
1555405796.615756,157,0.6262415647506714
1555405796.6511137,158,0.4685853123664856
1555405796.6863446,159,0.10925812274217606
1555405796.7945745,162,0.9424149394035339
1555405796.9013739,165,0.09272661805152893
1555405796.972577,167,0.07960328459739685
1555405797.009844,168,0.07471059262752533
1555405797.1155477,171,0.6507070064544678
1555405797.3300495,177,1.1872749328613281
1555405797.3667922,178,4.140806674957275
1555405797.438591,180,3.1484484672546387
1555405797.5437398,183,0.9780721664428711
1555405797.6157515,185,1.0572923421859741
1555405797.6530955,186,0.4253467619419098
1555405797.7233047,188,2.168391227722168
1555405797.8290699,190,2.841356039047241
1555405797.984968,191,0.12979522347450256
1555405798.2471821,198,3.4153690338134766
1555405798.762385,206,0.5662598013877869
1555405798.804612,207,0.3970310091972351
1555405798.841085,208,0.07028447091579437
1555405798.9847882,212,0.09586109220981598
1555405799.3416843,222,1.1214773654937744
1555405799.3766,223,0.04823572188615799
1555405799.4475968,225,0.20757144689559937
1555405799.5906034,229,0.8591541051864624
1555405799.6986716,232,0.4511832594871521
1555405799.735006,233,0.32340312004089355
1555405799.7709458,234,0.8591623902320862
1555405799.8760755,237,0.055795345455408096
1555405800.2453756,247,0.45590266585350037
1555405800.3164334,249,0.1315757781267166
1555405800.6624405,255,0.10885927826166153
1555405800.7747405,258,0.9449287056922913
1555405800.809771,259,0.08627080172300339
1555405800.846608,260,0.5257361531257629
1555405800.880702,261,0.8960756063461304
1555405800.9537356,263,0.07813936471939087
1555405801.096429,267,0.20497030019760132
1555405801.2387922,271,0.05058072507381439
1555405801.3094087,273,0.08113174885511398
1555405801.489845,278,2.219918966293335
1555405801.7039244,284,0.8217835426330566
1555405801.9643056,291,4.164530277252197
1555405802.0007849,292,0.07617154717445374
1555405802.1790311,297,0.04006949067115784
1555405802.2151513,298,3.560694694519043
1555405802.3220685,301,0.03360787406563759
1555405802.3592,302,0.8682297468185425
1555405802.3924384,303,0.06884025782346725
1555405802.6608562,307,0.415182501077652
1555405802.6958635,308,0.5361562967300415
1555405802.7678604,310,0.07562831044197083
1555405802.8765013,313,0.07099010050296783
1555405803.0190613,317,0.9697798490524292
1555405803.0539927,318,0.42784321308135986
1555405803.101783,319,3.6114578247070312
1555405803.1361525,320,0.03402044251561165
1555405803.208183,322,0.04378063231706619
1555405803.3162582,325,0.257385790348053
1555405803.3507602,326,0.05861397832632065
1555405803.3875968,327,1.0022227764129639
1555405803.4935415,330,0.17497238516807556
1555405803.6019752,333,0.045374684035778046
1555405803.9824095,339,0.05886184424161911
1555405804.0533144,341,0.15627378225326538
1555405804.1624274,344,0.7854985594749451
1555405804.1971924,345,0.04853489622473717
1555405804.2689571,347,0.13824447989463806
1555405804.3044212,348,0.04193320497870445
1555405804.482034,353,0.3363248407840729
1555405804.5194247,354,1.019553303718567
1555405804.8473449,360,0.07522118091583252
1555405804.953391,363,0.029941510409116745
1555405805.0966148,367,0.04741738736629486
1555405805.2386603,371,2.2482316493988037
1555405805.3109858,373,3.1615490913391113
1555405805.454124,377,4.269839286804199
1555405805.4905875,378,0.05313178896903992
1555405805.5259428,379,0.40810856223106384
1555405805.59679,381,0.042523059993982315
1555405805.7761114,386,0.07156521081924438
1555405805.8113687,387,0.3395160436630249
1555405806.052203,391,0.16592958569526672
1555405806.1003776,392,0.5915531516075134
1555405806.1374824,393,1.0731257200241089
1555405806.4950871,403,0.026281099766492844
1555405806.7786937,408,0.8523675203323364
1555405807.0374901,415,0.03801514208316803
1555405807.0718405,416,0.07017392665147781
1555405807.2737875,421,0.04485057666897774
1555405807.308592,422,0.0695502758026123
1555405807.380926,424,2.9129068851470947
1555405807.451348,426,0.05267675220966339
1555405807.594679,430,0.07414064556360245
1555405807.9168684,439,0.306931734085083
1555405807.988191,441,6.593700408935547
1555405808.023581,442,0.0565677285194397
1555405808.1315987,445,0.2153196632862091
1555405808.345875,451,0.032526448369026184
1555405808.7404695,459,0.43329519033432007
1555405808.7925985,460,0.11349772661924362
1555405808.8268135,461,0.1452973484992981
1555405808.898403,463,0.812293529510498
1555405808.9352658,464,0.19652634859085083
1555405809.0416687,467,0.0890968069434166
1555405809.0782378,468,0.04387475177645683
1555405809.2550516,473,3.8626232147216797
1555405809.292518,474,0.06372206658124924
1555405809.820495,485,0.05847277119755745
1555405809.9370232,488,0.042021285742521286
1555405809.9735367,489,0.5018652677536011
1555405810.0450099,491,0.17834708094596863
1555405810.116204,493,0.023699091747403145
1555405810.222653,496,0.9719424247741699
1555405810.6161098,507,0.1777019053697586
1555405810.9072826,511,0.1053835079073906
1555405810.952192,512,0.567216694355011
1555405811.0232985,514,3.055111885070801
1555405811.1322842,517,0.027849392965435982
1555405811.2030954,519,0.08073488622903824
1555405811.3801103,524,0.09433230757713318
1555405811.4174588,525,0.9196624755859375
1555405811.6326103,531,0.042527519166469574
1555405811.7045152,533,0.029899632558226585
1555405811.739144,534,0.9889900088310242
1555405811.8089762,536,4.632186412811279
1555405811.8467498,537,2.332930564880371
1555405811.8809168,538,2.5419304370880127
1555405811.9532301,540,0.05571558699011803
1555405812.023975,542,0.09253930300474167
1555405812.2043705,547,0.07298784703016281
1555405812.2389033,548,0.06929466873407364
1555405812.2751787,549,0.03401964530348778
1555405812.3466215,551,0.41526079177856445
1555405812.4897623,555,0.05032794550061226
1555405812.5613806,557,0.35748809576034546
1555405812.6328979,559,0.06493937969207764
1555405812.8993344,563,0.8900212645530701
1555405812.935354,564,0.15031971037387848
1555405812.970768,565,0.9581418037414551
1555405813.1128168,569,0.1554180234670639
1555405813.257178,573,0.7517086267471313
1555405813.2932365,574,0.033849142491817474
1555405813.3995926,577,0.06681842356920242
1555405813.471239,579,0.03955566883087158
1555405813.5080407,580,1.501325249671936
1555405813.5424404,581,0.029521791264414787
1555405813.5791483,582,0.0598866306245327
1555405813.6148014,583,0.19615960121154785
1555405813.6513371,584,0.06039036437869072
1555405813.7220042,586,1.4919997453689575
1555405813.756306,587,0.1597733497619629
1555405813.9371252,592,0.06838474422693253
1555405813.9831555,593,0.9386228919029236
1555405814.1903303,596,0.0706164538860321
1555405814.2255623,597,0.03646048903465271
1555405814.3341184,600,0.06840471178293228
1555405814.405033,602,0.1475437879562378
1555405814.619276,608,0.05389278009533882
1555405814.6906645,610,0.05379299819469452
1555405814.8789656,612,0.04162969812750816
1555405814.9943607,615,0.4733612537384033
1555405815.2150652,619,0.4687458574771881
1555405815.24954,620,0.040648799389600754
1555405815.3211927,622,0.9896025657653809
1555405815.5057282,625,0.07003147900104523
1555405815.829097,634,0.05116475746035576
1555405816.0771413,641,0.17145942151546478
1555405816.1139147,642,0.5680066347122192
1555405816.1853318,644,0.06356509029865265
1555405816.2195423,645,0.06665634363889694
1555405816.257262,646,1.2902581691741943
1555405816.2915614,647,0.10423403233289719
1555405816.3628821,649,0.041689056903123856
1555405816.4709988,652,0.034633733332157135
1555405816.6152203,656,3.0961251258850098
1555405816.6491838,657,0.37031233310699463
1555405816.7921143,661,0.724087119102478
1555405817.0247421,664,0.10500247776508331
1555405817.1678915,668,0.8113580346107483
1555405817.2732537,671,0.1463620811700821
1555405817.3107367,672,0.3458908796310425
1555405817.3451304,673,0.4207463562488556
1555405817.3825397,674,0.037471845746040344
1555405817.4169233,675,0.09127651900053024
1555405817.4881861,677,0.04216212406754494
1555405817.5237734,678,4.055297374725342
1555405817.5596905,679,0.48551446199417114
1555405817.6306524,681,0.041574254631996155
1555405817.6678083,682,0.033589210361242294
1555405817.7018487,683,0.5618174076080322
1555405817.7387404,684,0.15756267309188843
1555405817.8113108,686,0.07952409237623215
1555405817.8824122,688,0.047238849103450775
1555405817.9166217,689,0.739093005657196
1555405818.1794753,696,0.08408952504396439
1555405818.2854252,699,0.03117101639509201
1555405818.3569374,701,0.08530542254447937
1555405818.4280176,703,3.153834819793701
1555405818.536419,706,3.6122970581054688
1555405818.6081407,708,0.09041885286569595
1555405818.6796913,710,0.7610477209091187
1555405818.9270904,714,0.021911732852458954
1555405819.0772061,718,0.04050092026591301
1555405819.186044,721,0.05709508806467056
1555405819.220755,722,0.04967130720615387
1555405819.2581358,723,0.9089969992637634
1555405819.2925272,724,0.6949681639671326
1555405819.32882,725,0.3518088757991791
1555405819.5177436,730,0.019269905984401703
1555405819.7550852,736,0.06301456689834595
1555405819.8272305,738,0.04471488296985626
1555405819.8617058,739,0.02674991823732853
1555405819.8989077,740,0.056757524609565735
1555405820.0044992,743,0.041580215096473694
1555405820.191535,746,3.0809314250946045
1555405820.2291434,747,0.6886207461357117
1555405820.3350317,750,0.053004294633865356
1555405820.3721874,751,0.07314322888851166
1555405820.4064803,752,3.845716953277588
1555405820.4782114,754,0.1246848851442337
1555405820.549098,756,0.08188088983297348
1555405820.7636256,762,0.07188540697097778
1555405821.0011256,765,0.3566487431526184
1555405821.043357,766,0.4842265248298645
1555405821.2300897,769,0.03633781149983406
1555405821.266548,770,0.03383944183588028
1555405821.300886,771,0.03324020281434059
1555405821.3715954,773,0.14444708824157715
1555405821.4090688,774,0.10640408843755722
1555405821.6241038,780,2.131624937057495
1555405821.766251,784,3.0855298042297363
1555405821.8017395,785,1.0381968021392822
1555405821.8730454,787,0.3903839588165283
1555405821.94423,789,0.05340782552957535
1555405822.0167966,791,0.07861633598804474
1555405822.052991,792,0.04441794380545616
1555405822.185557,793,0.3182145357131958
1555405822.2346058,794,2.9007575511932373
1555405822.2701483,795,0.05179795250296593
1555405822.3779626,798,0.3889521658420563
1555405822.4611073,800,0.07329384982585907
1555405822.545081,802,3.0542726516723633
1555405822.651179,805,0.021896999329328537
1555405822.7232783,807,0.612683892250061
1555405822.7598805,808,2.1426069736480713
1555405822.7942913,809,0.874702513217926
1555405822.937377,813,0.03352499008178711
1555405823.008608,815,1.1657958030700684
1555405823.1489847,816,0.03823374584317207
1555405823.218943,818,0.037770166993141174
1555405823.3271575,821,0.055841997265815735
1555405823.4914997,825,0.07120154798030853
1555405823.633611,828,0.3588631749153137
1555405823.7386286,831,0.041547633707523346
1555405823.7765944,832,0.04372766241431236
1555405823.8474488,834,2.189312696456909
1555405823.9184422,836,0.04685339331626892
1555405823.9899588,838,0.056929416954517365
1555405824.1675484,843,0.05941062048077583
1555405824.2753289,846,0.8882941603660583
1555405824.346865,848,0.37738779187202454
1555405824.4535186,851,0.8695520162582397
1555405824.7393348,859,3.2175240516662598
1555405824.7754955,860,0.8063626289367676
1555405824.8821354,863,0.04438437893986702
1555405825.130715,867,0.8651294112205505
1555405825.210201,869,0.04154038056731224
1555405825.2466989,870,0.0283013004809618
1555405825.3901026,874,0.7208046913146973
1555405825.4615045,876,0.05513252317905426
1555405825.4968212,877,0.4275115728378296
1555405825.6041842,880,0.4552244544029236
1555405825.6754978,882,0.885315477848053
1555405825.815866,884,0.04413880035281181
1555405825.9232266,887,0.09209101647138596
1555405825.9948444,889,0.044500261545181274
1555405826.0295327,890,0.03519171476364136
1555405826.1005979,892,0.05178544670343399
1555405826.1383317,893,0.1276555359363556
1555405826.2554636,896,0.049401115626096725
1555405826.3635328,899,0.33496132493019104
1555405826.3975744,900,0.07733027637004852
1555405826.6491108,907,0.6584342122077942
1555405826.683644,908,0.0368250235915184
1555405826.7199788,909,0.03126318007707596
1555405826.755536,910,0.3891167938709259
1555405826.9003513,912,3.6391453742980957
1555405826.9351404,913,0.3528578579425812
1555405827.0064337,915,0.08409237861633301
1555405827.042801,916,1.186675786972046
1555405827.0780644,917,0.03377388417720795
1555405827.309599,920,3.0454680919647217
1555405827.3458302,921,0.040985774248838425
1555405827.3812735,922,0.4051397740840912
1555405827.4177234,923,0.0561336986720562
1555405827.4885943,925,0.055725984275341034
1555405827.7038264,931,2.8815629482269287
1555405827.737731,932,0.7609888315200806
1555405827.8457499,935,0.10034724324941635
1555405828.0953515,942,0.02871001325547695
1555405828.2032313,945,0.029379837214946747
1555405828.4528048,952,0.08212129771709442
1555405828.4894779,953,0.040056418627500534
1555405828.5239441,954,0.678318202495575
1555405828.5956545,956,0.3283712565898895
1555405828.6326377,957,0.1508447229862213
1555405828.6664808,958,0.02334366738796234
1555405828.7752008,961,2.1196165084838867
1555405828.8110793,962,1.634714126586914
1555405828.881682,964,0.3825800120830536
1555405828.9528575,966,0.08994052559137344
1555405828.9902005,967,0.024898607283830643
1555405829.2118616,971,0.023563973605632782
1555405829.2484665,972,0.6755141019821167
1555405829.3919964,976,0.05712738633155823
1555405829.426427,977,0.05315376818180084
1555405829.4630814,978,0.027521859854459763
1555405829.4984071,979,0.01773841306567192
1555405829.6059434,982,0.026648687198758125
1555405829.6400967,983,0.022238867357373238
1555405829.6766973,984,0.0540563128888607
1555405829.7837732,987,0.33828258514404297
1555405829.8200939,988,0.7444996237754822
1555405830.1064756,996,0.3512958288192749
1555405830.3366094,1000,0.36945635080337524
1555405830.4084864,1002,0.7491011619567871
1555405830.48063,1004,0.03917508199810982
1555405830.5171573,1005,0.028436290100216866
1555405830.6226213,1008,0.05324026942253113
1555405830.6595628,1009,0.5033376812934875
1555405830.731505,1011,0.3433597683906555
1555405830.7659407,1012,0.034181855618953705
1555405830.8035827,1013,3.369446277618408
1555405830.8370974,1014,0.12077870219945908
1555405830.9453673,1017,0.6160205006599426
1555405831.4221487,1025,3.571249008178711
1555405831.4941359,1027,0.025845101103186607
1555405831.5654736,1029,0.0890488475561142
1555405831.6370053,1031,2.854048728942871
1555405831.6716435,1032,0.7763713598251343
