Wall time,Step,Value
1555407534.2190623,0,0.8881317973136902
1555407537.1605918,1,0.758208692073822
1555407539.142315,2,0.7120256423950195
1555407541.1340954,3,0.6865960955619812
1555407543.254814,4,0.6689441800117493
1555407545.2243507,5,0.654371440410614
1555407547.3605325,6,0.6418854594230652
1555407549.322112,7,0.631645143032074
1555407551.3226016,8,0.6234073638916016
1555407553.4834027,9,0.6164849996566772
1555407555.4394486,10,0.6092411875724792
1555407557.4089024,11,0.6037819385528564
1555407559.5357845,12,0.5974292159080505
1555407561.463133,13,0.5910966992378235
1555407563.5179386,14,0.5858425498008728
1555407565.627652,15,0.5812328457832336
1555407567.5967674,16,0.5762736797332764
1555407569.6338236,17,0.5716789960861206
1555407571.6502628,18,0.5672690868377686
1555407573.5756328,19,0.5632131695747375
1555407575.555096,20,0.5593456029891968
1555407577.5755575,21,0.5549014210700989
1555407579.569504,22,0.5506748557090759
1555407581.5822623,23,0.5479449033737183
1555407583.5195177,24,0.5444647073745728
1555407585.5234878,25,0.5399930477142334
1555407587.5411558,26,0.537391185760498
1555407589.4761825,27,0.5335175395011902
1555407591.4014177,28,0.5304526686668396
1555407593.4168134,29,0.527582585811615
1555407595.3564813,30,0.5239758491516113
1555407597.2802844,31,0.5207628011703491
1555407599.283509,32,0.517536997795105
1555407601.2245386,33,0.514329731464386
1555407603.148967,34,0.5107775926589966
1555407605.1477268,35,0.5075411200523376
1555407607.0862231,36,0.5043050646781921
1555407609.009862,37,0.5013341903686523
1555407611.0262446,38,0.4992201030254364
1555407612.9763336,39,0.495615154504776
1555407614.9001398,40,0.49322590231895447
1555407616.9168413,41,0.48959922790527344
1555407618.8434012,42,0.4883315861225128
1555407620.7686539,43,0.4833714962005615
1555407622.8330996,44,0.4805213212966919
1555407624.8408906,45,0.47796735167503357
1555407626.777221,46,0.47510024905204773
1555407628.8014178,47,0.472606897354126
1555407630.7280467,48,0.4702959656715393
1555407632.7461557,49,0.4684942662715912
